Абрамова Алиса Артёмовна, 1997 года рождения, 1 курс, 7 группа
Морозова Елена Адамовна, 2006 года рождения, 1 курс, 3 группа
Назарова Александра Макаровна, 1996 года рождения, 1 курс, 5 группа
Никитин Флор Кимович, 1994 года рождения, 1 курс, 3 группа
Павлов Елисей Денисович, 2009 года рождения, 1 курс, 3 группа
Павлова Евдокия Тимофеевна, 1991 года рождения, 1 курс, 2 группа
Рябов Ярослав Фёдорович, 2008 года рождения, 1 курс, 6 группа
Сафонова Вера Данииловна, 1996 года рождения, 1 курс, 2 группа
Севастьянова Аделина Елисеевна, 2007 года рождения, 1 курс, 5 группа
Селезнёв Арнольд Авдеевич, 2008 года рождения, 1 курс, 2 группа
Семенова Дарья Захаровна, 1995 года рождения, 1 курс, 7 группа
Сергеев Иван Владиславович, 1993 года рождения, 1 курс, 8 группа
Сидорова Екатерина Данииловна, 1992 года рождения, 1 курс, 1 группа
Смирнова Елизавета Филипповна, 2004 года рождения, 1 курс, 3 группа
Соколов Андрей Владимирович, 1990 года рождения, 1 курс, 9 группа
Сухова Ангелина Константиновна, 2009 года рождения, 1 курс, 7 группа
Сысоева Мартина Дамировна, 2002 года рождения, 1 курс, 1 группа
Тарасова Валерия Алексеевна, 2007 года рождения, 1 курс, 3 группа
Тимофеев Александр Фёдорович, 1998 года рождения, 1 курс, 8 группа
Трофимова Виктория Валерьевна, 2010 года рождения, 1 курс, 10 группа
Ушаков Тимофей Юрьевич, 1998 года рождения, 1 курс, 4 группа
Фокин Максимилиан Русланович, 1997 года рождения, 1 курс, 1 группа
Черкасов Гордей Алексеевич, 2005 года рождения, 1 курс, 7 группа
Чернова Мишель Альбертовна, 2007 года рождения, 1 курс, 5 группа
Чижова Стефания Дамировна, 1993 года рождения, 1 курс, 10 группа
Шилов Михаил Дмитриевич, 1992 года рождения, 1 курс, 7 группа
Шишкина Ева Тихоновна, 2003 года рождения, 1 курс, 8 группа
Юдина Гера Денисовна, 1996 года рождения, 1 курс, 7 группа
Антонова Элина Антоновна, 1993 года рождения, 2 курс, 8 группа
Артамонов Владимир Львович, 1994 года рождения, 2 курс, 9 группа
Артемов Дмитрий Романович, 1997 года рождения, 2 курс, 4 группа
Артемьева Антонина Игнатьевна, 1997 года рождения, 2 курс, 7 группа
Афанасьева Софья Дамировна, 2006 года рождения, 2 курс, 8 группа
Афанасьева Станислава Романовна, 2002 года рождения, 2 курс, 7 группа
Баранова Лунара Евгеньевна, 2002 года рождения, 2 курс, 3 группа
Баранова Фатима Никитична, 2000 года рождения, 2 курс, 6 группа
Белов Григорий Павлович, 2000 года рождения, 2 курс, 4 группа
Березина Ксения Кирилловна, 2003 года рождения, 2 курс, 9 группа
Борисов Бенедикт Антонович, 1993 года рождения, 2 курс, 2 группа
Васильева Варвара Платоновна, 2007 года рождения, 2 курс, 5 группа
Власов Егор Константинович, 1993 года рождения, 2 курс, 10 группа
Власова Святослава Витальевна, 1992 года рождения, 2 курс, 3 группа
Волков Александр Ярославович, 2000 года рождения, 2 курс, 5 группа
Волков Сергей Максович, 2000 года рождения, 2 курс, 4 группа
Воронова Арьяна Тихоновна, 1994 года рождения, 2 курс, 4 группа
Гаврилов Валентин Игоревич, 1991 года рождения, 2 курс, 8 группа
Гаврилов Сергей Маркович, 2005 года рождения, 2 курс, 3 группа
Герасимова Нина Ростиславовна, 2004 года рождения, 2 курс, 6 группа
Головина Милана Фёдоровна, 2004 года рождения, 2 курс, 6 группа
Горбунова Майя Тимуровна, 2003 года рождения, 2 курс, 5 группа
Горшкова Агния Артемовна, 1998 года рождения, 2 курс, 5 группа
Громова Дана Дмитрьевна, 2006 года рождения, 2 курс, 2 группа
Дегтярев Николай Денисович, 2004 года рождения, 2 курс, 1 группа
Демин Юрий Петрович, 1991 года рождения, 2 курс, 4 группа
Дьячков Илларион Юлианович, 1990 года рождения, 2 курс, 7 группа
Егорова Елизавета Павловна, 2005 года рождения, 2 курс, 10 группа
Елизарова Арина Андреевна, 1994 года рождения, 2 курс, 7 группа
Ермакова Александра Фёдоровна, 1991 года рождения, 2 курс, 5 группа
Ерофеев Марсель Даниилович, 2002 года рождения, 2 курс, 9 группа
Ефимов Евгений Глебович, 2001 года рождения, 2 курс, 3 группа
Иванов Рустам Арсентьевич, 1996 года рождения, 2 курс, 4 группа
Иванова Вероника Глебовна, 1997 года рождения, 2 курс, 7 группа
Ильин Александр Ярославович, 2006 года рождения, 2 курс, 6 группа
Калашников Донат Артемович, 2000 года рождения, 2 курс, 10 группа
Калугина София Лукинична, 2007 года рождения, 2 курс, 5 группа
Карасева Елизавета Матвеевна, 1997 года рождения, 2 курс, 1 группа
Карпова Ева Кирилловна, 1993 года рождения, 2 курс, 8 группа
Кириллова Силика Егоровна, 1990 года рождения, 2 курс, 2 группа
Киселева Олеся Александровна, 2005 года рождения, 2 курс, 6 группа
Киселева Фатима Данииловна, 2008 года рождения, 2 курс, 3 группа
Ковалева Софья Дмитриевна, 1996 года рождения, 2 курс, 10 группа
Ковалёва Крис Вадимовна, 1998 года рождения, 2 курс, 4 группа
Козлова Кристина Сергеевна, 2004 года рождения, 2 курс, 5 группа
Комарова Вероника Ивановна, 1992 года рождения, 2 курс, 8 группа
Коновалова Софья Кирилловна, 2002 года рождения, 2 курс, 10 группа
Константинов Юрий Львович, 2005 года рождения, 2 курс, 1 группа
Королёв Терентий Макарович, 2003 года рождения, 2 курс, 8 группа
Костин Натан Антонович, 2002 года рождения, 2 курс, 4 группа
Костина Ева Артемьевна, 2005 года рождения, 2 курс, 8 группа
Котов Артём Александрович, 2008 года рождения, 2 курс, 7 группа
Котов Владислав Родионович, 1992 года рождения, 2 курс, 7 группа
Котова Анна Максимовна, 2008 года рождения, 2 курс, 2 группа
Кудрявцев Лев Алиевич, 2002 года рождения, 2 курс, 3 группа
Кудряшова Анна Романовна, 2005 года рождения, 2 курс, 6 группа
Кузина Мирослава Матвеевна, 2000 года рождения, 2 курс, 7 группа
Кузнецов Владислав Алексеевич, 2005 года рождения, 2 курс, 8 группа
Кузнецов Павел Ильич, 2004 года рождения, 2 курс, 5 группа
Кузьмина Сафия Марковна, 2001 года рождения, 2 курс, 3 группа
Кулешов Роман Иванович, 1990 года рождения, 2 курс, 6 группа
Лазарева Амелия Владиславовна, 2000 года рождения, 2 курс, 3 группа
Лазарева Асия Святославовна, 1995 года рождения, 2 курс, 4 группа
Лазарева Мария Артёмовна, 1991 года рождения, 2 курс, 5 группа
Лапина Ксения Всеволодовна, 2007 года рождения, 2 курс, 8 группа
Лаптев Сергей Никитич, 2006 года рождения, 2 курс, 9 группа
Логинов Даниэль Никитич, 1998 года рождения, 2 курс, 6 группа
Логинова Юлия Саввична, 2002 года рождения, 2 курс, 3 группа
Лопатина Елизавета Артёмовна, 1999 года рождения, 2 курс, 5 группа
Лыткина Андриана Святославовна, 1997 года рождения, 2 курс, 8 группа
Макарова Ева Владимировна, 1991 года рождения, 2 курс, 6 группа
Медведев Валентин Витальевич, 1996 года рождения, 2 курс, 7 группа
Медведева Ангелина Павловна, 1991 года рождения, 2 курс, 7 группа
Муравьев Владимир Иванович, 1997 года рождения, 2 курс, 8 группа
Муравьев Никита Максимович, 1991 года рождения, 2 курс, 7 группа
Мухин Тимур Захарович, 1996 года рождения, 2 курс, 5 группа
Некрасова Ирина Артёмовна, 2005 года рождения, 2 курс, 5 группа
Никитина Анна Львовна, 1992 года рождения, 2 курс, 9 группа
Никольский Руслан Артёмович, 1993 года рождения, 2 курс, 5 группа
Носков Роман Ильич, 2002 года рождения, 2 курс, 9 группа
Носов Александр Романович, 1992 года рождения, 2 курс, 8 группа
Павловский Андрей Львович, 1994 года рождения, 2 курс, 10 группа
Парфенова София Артемьевна, 1998 года рождения, 2 курс, 7 группа
Петрова Ева Михайловна, 2006 года рождения, 2 курс, 6 группа
Пименова Алиса Львовна, 1995 года рождения, 2 курс, 8 группа
Платонов Давид Николаевич, 2004 года рождения, 2 курс, 2 группа
Поликарпов Артём Демидович, 2006 года рождения, 2 курс, 9 группа
Потапова Кира Никитична, 1997 года рождения, 2 курс, 7 группа
Розанов Сергей Маркович, 1991 года рождения, 2 курс, 5 группа
Романов Сергей Леонович, 2000 года рождения, 2 курс, 3 группа
Руднева Мария Семёновна, 1999 года рождения, 2 курс, 7 группа
Русакова Астра Федотовна, 2004 года рождения, 2 курс, 1 группа
Русакова Малика Григорьевна, 1992 года рождения, 2 курс, 9 группа
Самойлова Дарья Антоновна, 1998 года рождения, 2 курс, 2 группа
Сафонова Видана Григорьевна, 1994 года рождения, 2 курс, 3 группа
Семенова Варвара Дмитриевна, 2006 года рождения, 2 курс, 2 группа
Семенова Полина Романовна, 1999 года рождения, 2 курс, 10 группа
Сидоров Ярослав Алексеевич, 1999 года рождения, 2 курс, 6 группа
Смирнов Юстин Романович, 1992 года рождения, 2 курс, 2 группа
Смирнова Анастасия Марсельевна, 1996 года рождения, 2 курс, 9 группа
Смирнова Мария Денисовна, 1994 года рождения, 2 курс, 8 группа
Соколов Григорий Даниилович, 2008 года рождения, 2 курс, 7 группа
Соколова Маргарита Тимофеевна, 2005 года рождения, 2 курс, 6 группа
Соколова Яна Никитична, 1990 года рождения, 2 курс, 3 группа
Сорокин Никита Елисеевич, 2004 года рождения, 2 курс, 9 группа
Степанова Агата Арсентьевна, 2008 года рождения, 2 курс, 4 группа
Субботина Марьяна Александровна, 1990 года рождения, 2 курс, 2 группа
Суслова Ульяна Георгиевна, 1993 года рождения, 2 курс, 5 группа
Сухова Вероника Демьяновна, 2007 года рождения, 2 курс, 6 группа
Тимофеева Вероника Тимуровна, 2007 года рождения, 2 курс, 6 группа
Титова Ева Владимировна, 2006 года рождения, 2 курс, 9 группа
Тихонов Георгий Андреевич, 2005 года рождения, 2 курс, 4 группа
Тихонова Алина Михайловна, 1997 года рождения, 2 курс, 6 группа
Тихонова Дарина Ильинична, 2004 года рождения, 2 курс, 4 группа
Токарева Дарья Игоревна, 1994 года рождения, 2 курс, 5 группа
Трифонов Роман Никитич, 1992 года рождения, 2 курс, 6 группа
Туманова Амина Фёдоровна, 2008 года рождения, 2 курс, 3 группа
Ушаков Лев Билалович, 1993 года рождения, 2 курс, 1 группа
Филатов Вадим Георгиевич, 1994 года рождения, 2 курс, 1 группа
Филиппов Дональд Михаилович, 1994 года рождения, 2 курс, 2 группа
Фролова Ксения Тихоновна, 2004 года рождения, 2 курс, 2 группа
Чернов Александр Сергеевич, 2009 года рождения, 2 курс, 2 группа
Черняев Иван Михайлович, 1991 года рождения, 2 курс, 5 группа
Шаповалов Тимур Ильич, 1993 года рождения, 2 курс, 5 группа
Шаров Константин Никитич, 2007 года рождения, 2 курс, 3 группа
Шашкова Береслава Тарасовна, 2000 года рождения, 2 курс, 2 группа
Шевелев Александр Артёмович, 1997 года рождения, 2 курс, 6 группа
Шестаков Михаил Аркадьевич, 2001 года рождения, 2 курс, 4 группа
Щербаков Артём Тимурович, 1998 года рождения, 2 курс, 8 группа
Щербаков Дмитрий Романович, 1999 года рождения, 2 курс, 2 группа
Щукина Авигея Робертовна, 1997 года рождения, 2 курс, 4 группа
Яковлева Амира Михайловна, 2006 года рождения, 2 курс, 8 группа
Авдеев Сергей Данилович, 1999 года рождения, 3 курс, 3 группа
Акимова Ксения Фёдоровна, 1994 года рождения, 3 курс, 4 группа
Алексеева Аделина Алексеевна, 2002 года рождения, 3 курс, 8 группа
Антонов Денис Мэлорович, 2007 года рождения, 3 курс, 10 группа
Архипова Диана Ивановна, 2001 года рождения, 3 курс, 9 группа
Архипова Марьям Дмитриевна, 1997 года рождения, 3 курс, 10 группа
Баранова Августина Улебовна, 2010 года рождения, 3 курс, 6 группа
Беляев Давид Вячеславович, 2006 года рождения, 3 курс, 1 группа
Бессонова Алиса Марковна, 2010 года рождения, 3 курс, 7 группа
Бобров Власий Аркадьевич, 1991 года рождения, 3 курс, 2 группа
Большакова Софья Андреевна, 2007 года рождения, 3 курс, 7 группа
Борисов Егор Андреевич, 2001 года рождения, 3 курс, 5 группа
Борисова Анастасия Марковна, 1997 года рождения, 3 курс, 5 группа
Бородин Егор Сергеевич, 1998 года рождения, 3 курс, 2 группа
Бочарова Варвара Максимовна, 1992 года рождения, 3 курс, 5 группа
Булгакова Диана Александровна, 2002 года рождения, 3 курс, 7 группа
Васильев Михаил Викторович, 1995 года рождения, 3 курс, 8 группа
Власова Виктория Владиславовна, 2000 года рождения, 3 курс, 7 группа
Волков Роберт Тимурович, 2001 года рождения, 3 курс, 2 группа
Волкова Ульяна Яковлевна, 2010 года рождения, 3 курс, 6 группа
Воронин Мирон Егорович, 2009 года рождения, 3 курс, 4 группа
Герасимова Сабина Марковна, 1995 года рождения, 3 курс, 5 группа
Головина Кристина Антоновна, 2005 года рождения, 3 курс, 9 группа
Гончаров Лев Иванович, 2006 года рождения, 3 курс, 9 группа
Гордеев Егор Артёмович, 1997 года рождения, 3 курс, 6 группа
Гордеева Айлин Максовна, 1993 года рождения, 3 курс, 8 группа
Громов Илья Кириллович, 1999 года рождения, 3 курс, 6 группа
Гусева Елизавета Львовна, 2003 года рождения, 3 курс, 4 группа
Давыдова Алиса Ярославовна, 1993 года рождения, 3 курс, 4 группа
Давыдова Мария Михайловна, 1995 года рождения, 3 курс, 8 группа
Денисова Яна Максимовна, 1994 года рождения, 3 курс, 5 группа
Дмитриева Юлия Савельевна, 1994 года рождения, 3 курс, 2 группа
Егорова Арина Германовна, 1993 года рождения, 3 курс, 1 группа
Ермакова Анна Егоровна, 1996 года рождения, 3 курс, 10 группа
Захарова Василиса Ярославовна, 2006 года рождения, 3 курс, 6 группа
Зотов Денис Михайлович, 1997 года рождения, 3 курс, 10 группа
Зуев Юлий Антонович, 1997 года рождения, 3 курс, 4 группа
Иванов Дмитрий Иванович, 1995 года рождения, 3 курс, 2 группа
Иванов Илья Даниилович, 2007 года рождения, 3 курс, 8 группа
Ильин Ян Макарович, 1997 года рождения, 3 курс, 4 группа
Казаков Николай Михайлович, 2004 года рождения, 3 курс, 6 группа
Казакова Елизавета Николаевна, 2002 года рождения, 3 курс, 9 группа
Капустин Андрей Валерьянович, 2002 года рождения, 3 курс, 10 группа
Клюева Лилия Львовна, 1996 года рождения, 3 курс, 3 группа
Ковалев Александр Степанович, 2007 года рождения, 3 курс, 6 группа
Ковалёв Юрий Аркадьевич, 2005 года рождения, 3 курс, 4 группа
Козлов Дмитрий Святославович, 1996 года рождения, 3 курс, 6 группа
Коновалов Даниил Ибрагимович, 2010 года рождения, 3 курс, 3 группа
Кононов Корнелий Робертович, 1999 года рождения, 3 курс, 7 группа
Костин Савва Глебович, 1997 года рождения, 3 курс, 6 группа
Крылова Марианна Александровна, 1992 года рождения, 3 курс, 8 группа
Кузнецов Елисей Георгиевич, 2005 года рождения, 3 курс, 6 группа
Кузнецов Наум Яковович, 1998 года рождения, 3 курс, 9 группа
Кузнецова Екатерина Давидовна, 2007 года рождения, 3 курс, 5 группа
Кузьмина Мадина Руслановна, 2001 года рождения, 3 курс, 1 группа
Лапшин Сергей Петрович, 2006 года рождения, 3 курс, 2 группа
Ларионова Фая Константиновна, 2004 года рождения, 3 курс, 4 группа
Латышева Елизавета Дмитриевна, 2007 года рождения, 3 курс, 8 группа
Лебедев Максим Андреевич, 2009 года рождения, 3 курс, 1 группа
Леонов Григорий Иванович, 1998 года рождения, 3 курс, 6 группа
Логинова Елизавета Михайловна, 2005 года рождения, 3 курс, 1 группа
Макарова Елизавета Ярославовна, 1991 года рождения, 3 курс, 2 группа
Макарова Наталья Николаевна, 2010 года рождения, 3 курс, 8 группа
Мартынов Всеволод Артурович, 2009 года рождения, 3 курс, 4 группа
Медведева Елизавета Матвеевна, 2005 года рождения, 3 курс, 7 группа
Медведева Мария Ивановна, 1995 года рождения, 3 курс, 3 группа
Минина Анна Вячеславовна, 2010 года рождения, 3 курс, 3 группа
Михайлова Вероника Львовна, 2007 года рождения, 3 курс, 8 группа
Михеев Иван Артёмович, 1998 года рождения, 3 курс, 3 группа
Моисеев Артём Платонович, 2008 года рождения, 3 курс, 3 группа
Молчанов Кирилл Александрович, 2000 года рождения, 3 курс, 6 группа
Назарова Анастасия Ильинична, 2006 года рождения, 3 курс, 2 группа
Назарова Вероника Кирилловна, 2003 года рождения, 3 курс, 1 группа
Назарова Элеонора Филатовна, 1999 года рождения, 3 курс, 9 группа
Некрасова Лидия Макаровна, 1998 года рождения, 3 курс, 5 группа
Нефедов Дмитрий Игоревич, 2000 года рождения, 3 курс, 1 группа
Никонов Максим Артёмович, 1997 года рождения, 3 курс, 10 группа
Никонова Варвара Вячеславовна, 1997 года рождения, 3 курс, 9 группа
Орлов Андрей Дмитриевич, 2009 года рождения, 3 курс, 2 группа
Осипова Гелла Тихоновна, 1990 года рождения, 3 курс, 3 группа
Панова Ева Алексеевна, 1990 года рождения, 3 курс, 5 группа
Петров Степан Арсентьевич, 2004 года рождения, 3 курс, 3 группа
Петухова Дарья Глебовна, 2003 года рождения, 3 курс, 7 группа
Поляков Дамир Константинович, 2006 года рождения, 3 курс, 4 группа
Попова Алиса Ивановна, 1995 года рождения, 3 курс, 7 группа
Прохоров Михаил Иванович, 2002 года рождения, 3 курс, 4 группа
Родионов Дмитрий Игнатьевич, 1997 года рождения, 3 курс, 2 группа
Русаков Иннокентий Станиславович, 2006 года рождения, 3 курс, 5 группа
Савин Игорь Семёнович, 1998 года рождения, 3 курс, 7 группа
Сальникова Алиса Данииловна, 2005 года рождения, 3 курс, 7 группа
Самсонова Чеслава Лукьевна, 1994 года рождения, 3 курс, 7 группа
Сафонов Сергей Матвеевич, 1999 года рождения, 3 курс, 6 группа
Седова Маргарита Львовна, 2004 года рождения, 3 курс, 2 группа
Селезнев Давид Михайлович, 1993 года рождения, 3 курс, 4 группа
Селезнева Дарья Матвеевна, 2006 года рождения, 3 курс, 3 группа
Семенова Алина Леонидовна, 2008 года рождения, 3 курс, 7 группа
Сергеева Глория Лаврентьевна, 2008 года рождения, 3 курс, 5 группа
Серебрякова Александра Константиновна, 1992 года рождения, 3 курс, 1 группа
Соболев Сергей Владимирович, 1993 года рождения, 3 курс, 8 группа
Соколов Андрей Петрович, 2000 года рождения, 3 курс, 7 группа
Соколов Никита Денисович, 2008 года рождения, 3 курс, 4 группа
Соловьев Александр Александрович, 2001 года рождения, 3 курс, 2 группа
Сорокина Кира Александровна, 1998 года рождения, 3 курс, 2 группа
Софронов Юрий Александрович, 2008 года рождения, 3 курс, 2 группа
Степанов Максим Дмитриевич, 1992 года рождения, 3 курс, 7 группа
Столярова Варвара Михайловна, 2005 года рождения, 3 курс, 9 группа
Устинова Юлия Андреевна, 2007 года рождения, 3 курс, 2 группа
Ушакова Виктория Георгиевна, 1997 года рождения, 3 курс, 2 группа
Фадеев Зиновий Игнатьевич, 1994 года рождения, 3 курс, 4 группа
Федоров Иван Савельевич, 2000 года рождения, 3 курс, 9 группа
Филиппова Екатерина Алексеевна, 2002 года рождения, 3 курс, 3 группа
Филиппова София Артёмовна, 2004 года рождения, 3 курс, 1 группа
Фомин Фёдор Константинович, 2004 года рождения, 3 курс, 5 группа
Фролов Иван Олегович, 2004 года рождения, 3 курс, 8 группа
Харитонов Исаак Пантелеймонович, 2004 года рождения, 3 курс, 8 группа
Харитонова Екатерина Александровна, 1991 года рождения, 3 курс, 6 группа
Хохлов Владислав Вадимович, 1990 года рождения, 3 курс, 9 группа
Хохлова Сусанна Лаврентьевна, 2003 года рождения, 3 курс, 1 группа
Черная София Егоровна, 1995 года рождения, 3 курс, 5 группа
Шаров Михаил Никитич, 2000 года рождения, 3 курс, 3 группа
Яковлев Антон Павлович, 2008 года рождения, 3 курс, 4 группа
Яковлев Даниил Васильевич, 2002 года рождения, 3 курс, 3 группа
Яковлева Мария Тимуровна, 2009 года рождения, 3 курс, 4 группа
Яковлева Снежана Яковлевна, 2003 года рождения, 3 курс, 4 группа
Абрамов Платон Артёмович, 1992 года рождения, 4 курс, 8 группа
Александрова Валерия Давидовна, 1997 года рождения, 4 курс, 6 группа
Алексеев Ярослав Ильич, 2006 года рождения, 4 курс, 2 группа
Андреев Вячеслав Тигранович, 2002 года рождения, 4 курс, 6 группа
Андреева Ольга Дмитриевна, 2005 года рождения, 4 курс, 4 группа
Анисимов Семён Артемьевич, 2009 года рождения, 4 курс, 7 группа
Антонова Эмилия Ибрагимовна, 2003 года рождения, 4 курс, 3 группа
Афанасьев Гарри Викторович, 2004 года рождения, 4 курс, 2 группа
Баженов Михаил Александрович, 2002 года рождения, 4 курс, 7 группа
Белов Матвей Павлович, 1995 года рождения, 4 курс, 3 группа
Белякова Алёна Геннадиевна, 2003 года рождения, 4 курс, 2 группа
Власова Фия Максовна, 1992 года рождения, 4 курс, 4 группа
Волков Денис Артёмович, 2001 года рождения, 4 курс, 3 группа
Волкова Диана Николаевна, 2007 года рождения, 4 курс, 6 группа
Воробьев Александр Тимофеевич, 2001 года рождения, 4 курс, 8 группа
Воронцов Дмитрий Кириллович, 1995 года рождения, 4 курс, 4 группа
Герасимов Игнатий Даниилович, 2002 года рождения, 4 курс, 9 группа
Герасимова Виктория Егоровна, 2007 года рождения, 4 курс, 9 группа
Глушков Михаил Алексеевич, 2005 года рождения, 4 курс, 4 группа
Головин Максим Игоревич, 1990 года рождения, 4 курс, 4 группа
Гончарова Дарья Тимуровна, 1993 года рождения, 4 курс, 5 группа
Гордеев Герман Улебович, 2003 года рождения, 4 курс, 8 группа
Горелова София Михайловна, 2003 года рождения, 4 курс, 6 группа
Горюнов Олег Савельевич, 2002 года рождения, 4 курс, 5 группа
Григорьева Юлиана Максимовна, 2004 года рождения, 4 курс, 5 группа
Давыдов Вадим Глебович, 1997 года рождения, 4 курс, 8 группа
Дегтярева Арина Владиславовна, 1993 года рождения, 4 курс, 1 группа
Денисов Тимофей Аристархович, 2009 года рождения, 4 курс, 10 группа
Дмитриев Даниил Егорович, 2006 года рождения, 4 курс, 9 группа
Добрынина Алиса Лукинична, 1992 года рождения, 4 курс, 3 группа
Дорофеева Алевтина Федосеевна, 2009 года рождения, 4 курс, 9 группа
Егоров Марк Анатольевич, 2003 года рождения, 4 курс, 5 группа
Елисеева Амира Захаровна, 2007 года рождения, 4 курс, 7 группа
Ермилов Тимур Артёмович, 1991 года рождения, 4 курс, 6 группа
Ефимов Артём Миронович, 2001 года рождения, 4 курс, 5 группа
Захарова Алиса Артемьевна, 1998 года рождения, 4 курс, 7 группа
Зуева Зинаида Пётровна, 2007 года рождения, 4 курс, 6 группа
Иванов Кирилл Григорьевич, 2006 года рождения, 4 курс, 9 группа
Казаков Даниил Матвеевич, 1995 года рождения, 4 курс, 10 группа
Князев Александр Святославович, 1999 года рождения, 4 курс, 6 группа
Ковалев Арсений Артемьевич, 1992 года рождения, 4 курс, 6 группа
Ковалёва Иоанна Митрофановна, 2007 года рождения, 4 курс, 1 группа
Козлова Лилу Арсеньевна, 2004 года рождения, 4 курс, 3 группа
Комиссаров Витольд Денисович, 1997 года рождения, 4 курс, 1 группа
Коновалова Анастасия Алексеевна, 1997 года рождения, 4 курс, 7 группа
Коротков Егор Робертович, 2001 года рождения, 4 курс, 1 группа
Кочетков Владимир Максимович, 2008 года рождения, 4 курс, 2 группа
Кудряшов Тимофей Владленович, 2002 года рождения, 4 курс, 9 группа
Кузин Андрей Александрович, 1991 года рождения, 4 курс, 2 группа
Куликов Назарий Матвеевич, 2008 года рождения, 4 курс, 9 группа
Куликова Милана Александровна, 2007 года рождения, 4 курс, 3 группа
Лебедев Андрей Константинович, 2009 года рождения, 4 курс, 6 группа
Лебедев Михаил Егорович, 2008 года рождения, 4 курс, 5 группа
Литвинов Тигран Давидович, 2001 года рождения, 4 курс, 3 группа
Макеев Егор Александрович, 2003 года рождения, 4 курс, 3 группа
Мальцев Фёдор Адамович, 1998 года рождения, 4 курс, 7 группа
Маркин Пётр Романович, 1997 года рождения, 4 курс, 4 группа
Маркова Доля Валерьевна, 2005 года рождения, 4 курс, 1 группа
Маслов Илья Маркович, 1997 года рождения, 4 курс, 3 группа
Медведев Марк Романович, 2009 года рождения, 4 курс, 5 группа
Михайлов Владимир Александрович, 2000 года рождения, 4 курс, 9 группа
Морозова Юланта Федотовна, 1992 года рождения, 4 курс, 7 группа
Нефедова Варвара Данииловна, 2002 года рождения, 4 курс, 6 группа
